id,title,content,tags
999,"For servos, can it be implied that `Holding Torque = Operating Torque * 2` like with steppers?","I am following a guide that recommends using stepper motors and it has an approximate holding and operating torque. It says that if you don't know the operating torque, it is often half of the holding torque. I am adapting this to use with a servo and I was wondering can this same formula be used with a servo. My servo has approximately  of torque so does that mean that I can estimate the operating torque would be ~1 kg/cm?
A couple of things:

I know operating torque and holding torque are different. This is just a estimate-it isn't an exact science.
I know servos are harder to find their location (75 degrees, etc.) than to use a stepper and assume that it worked. I have external means of finding the location.

",rcservo stepper-motor
1005,Controlling the Power of a Solenoid,"I am trying to control the force of a solenoid. My current system has a bank of capacitors connected to a relay. In order to control the force (how hard I am trying to hit the object) I am increasing or decreasing the the time the relay is on. The problem is this works but it either hits with too much force or way too much force. I can turn the relay on for 5 ms or more. If I try to turn it on for 1 ms it does not even respond. (I am using a mechanical relay.)
I would like to have more control on how much of the energy I discharge so I can control how hard/soft the solenoid moves (say discharge only 10 percent of the total energy stored so it hits slower). While searching I found out about Solid State Relays which according to wikipedia can be switched on an off way faster that mechanical relay (of the order of microseconds to milliseconds).
So my question is am I on the right track? or is there something better to achieve what I am trying to achieve?
",control
1006,Taylor Series expansion for EKF,"In Probablistic Robotics by S. Thrun, in the first section on the Extended Kalman Filter, it talks about linearizing the process and observation models using first order Taylor expansion.  
Equation 3.51 states:
$g(u_t,x_{t-1}) \approx g(u_t,\mu_{t-1}) + g\prime(u_t, \mu_{t-1})(x_{t-1} - \mu_{t-1})$
I think $\mu_{t-1}$ is the state estimate from the last time step.  My question is: what is $x_{t-1}$?  
Also, the EKF algorithm following this (on table 3.3) does not use the factor $(x_{t-1} - \mu_{t-1})$ anywhere, only $g\prime(u_t, \mu_{t-1})$.  So after being confused about $x_{t-1}$, I'm left wondering where it went in the algorithm.
",kalman-filter theory ekf
1011,Charging multiple LiFePO4 batteries at the same time?,"I'm looking to use 4 of these 3.2V LiFePO4 batteries. I intend to have 2 pairs of 2 in series in parallel. So two 6.4V battery packs in parallel. Because my setup will be run off of this, it will also be easiest to recharge the batteries using the same setup. To accomplish this, I'm looking to charge all the batteries at once using this 6.4V LiFePO4 smart charger. From a simplistic standpoint, the resulting voltage should be correct and this should work fine. However, I know (from a previous question) that LiFePO4 battery chargers are a bit more complex then a basic voltage supply and check. Would the setup I've described work correctly? And in general, will a LiFePO4 smart charger be able to charge several batteries of the correct voltage at the same time so long as it doesn't try to charge them at too high an amperage? Or does a LiFePO4 battery also have a minimum amperage cutoff point to charge such that trying to charge more than one battery at a time will cause problems? Any other issues I didn't mention? Thank you much!
",battery
1014,How would I go about making an art drawing robot like this?,"I saw this art drawing robot on youtube:

What do I need to learn in order to build something like that? What are some beginner oriented projects that could lead up to building something like this?
I'm an experienced programmer but I have very little hardware experience.
",robotic-arm
1018,Connecting multiple different voltage servos to the same controller,"I am using the Pololu Micro Serial Servo Controller connected to an Arduino and multiple other servos (4 total) to make a robot arm.  Two of the four servos require 4-6 volts, while the other 2 require 7-10 volts, so I am planning on powering all the servos separate from the Pololu.
I have the Arduino and Pololu connecting to each other correctly (flashing green led), but the servo(s) don't move when plugged in to the control pins.  All the servos work correctly when plugged into a servo-tester.
I think that this problem could be fixed by connecting the grounds of the servos to the ground of the Pololu, but would like advice because I am not sure if it will work, or will end up frying one of the parts (We already fried a pololu).
Would connecting the grounds of the batteries to the ground of the Pololu help, or damage the parts?
, but I couldn't figure out how to show the micro serial servo controller.
",rcservo
1020,"How to make an ""invisible line following robot""?","I would like to build a robot which follows a virtual path (Not a visible path like a 'black line on a white surface', etc).
I'm just enthusiastic by seeing some sci-fi videos which show robots carry goods and materials in a crowded place. And they really don't follow a physical line. They sense obstacles, depth, etc.  
I would like to build one such robot which follows a specific (virtual)  path from point A to B.
I have tried a couple of things:

Using a magnetic ""Hall effect"" sensor on the robot and wire carrying current (beneath the table). The problem here was that the vicinity of the hall effect sensor is so small (< 2cms) that it is very difficult to judge whether robot is on the line or off the line. Even using series of magnets couldn't solve this issue, as my table is 1 inch thick. So this idea flopped :P
Using an ultraviolet paint (on a line) and using UV leds on the robot as sensors. This will give more Zig-Zag motion for the robot. And due to potential threats of using UV light source, even this idea flopped :P

I finally thought of having a camera on top and using image processing algorithms to see whether robot is on the line or diverging.
Is there any better solution than this? Really looking for some creative and simple solutions. :)
",mobile-robot localization wheeled-robot industrial-robot line-following
1021,"looking for a miniature joystick, but in reverse","Does anyone know if small mechanical actuators exist which can be controlled electrically, sort of like a miniature joystick, but in reverse.  Instead of it picking up mechanical movement and outputting electrical signals, I want it to generate mechanical movement controlled via my electrical input signals.  Ive searched for : electromechanical actuators, not finding what I need. Think of a pencil attached to a surface which can pivot to point anywhere in its half dome.  Im thinking small, on the order of an inch.  It will not be load bearing. 
My goal is to programmatically control the normal pointed to by a small flat surface attached to the end of each joystick rod.  Accuracy is more important than speed.  From across a small room, say 10' by 10', I'd like the surface normal to accurately point to arbitrary objects in the room, say a person walking across the room.  If I can cheaply buy/build such mechanisms to control the movement of these small flat surfaces, I would like dozens places across the walls of the room.
Its for an electromechanical sound project Im planning. 
",control actuator
1023,Servo motor considerations for a quadruped,"I'm building a quadruped and I'm not sure of the features I should be looking for in a servo motor. e.g. digital vs analog, signal vs dual bearings. Some of the ones I'm considering are here
",rcservo walking-robot
1025,Cant see Kinect Data in ROS,"I am working on this project that involves using the Kinect for XBOX 360S with ROS.
I did all the steps mentioned in the ROS Tutorials to have Openni Installed and the Prime sense and other drivers. and when i go to Openni samples i see a output. But in ROS i do a roscore and in another terminal do a roslaunch openni_launch openni.launch. And it loads with the regular calibration warnings and service already registered errors. Then in another terminal i open Rviz which gives a error /.rviz/display_config does not exist. And even though i accept the error and go ahead i see a black window which shows no output ,even if i do all tasks mentioned at the RVIZ Tutorials. Also i tried running ""rosrun image_view image_view image:=/camera/rgb/image_color"" and it shows up a blank window with no output. How do i resolve this and get ros to show my kinect data??
I need to run RGBDSLAM and use this kinect later.
I am on Ubuntu 12.04 and ROS-Fuerte.
Well when i launch the openni.launch it starts as usual except for the errors Tried to advertise a service that is already advertised in this node.
And when i run a rostopic it just says subscribed to the /camera/depth_registered/points and cursor keeps blinking.
Even subscribing to the rectified topics just says subscribed and nothing more happens.
",kinect ros
1032,How is PIV control performed?,"I'm considering experimenting with PIV control instead of PID control. Contrary to PID, PIV control has very little explanation on the internet and literature. There is almost a single source of information explaining the method, which is a technical paper by Parker Motion. 
What I understand from the control method diagram (which is in Laplace domain) is that the control output boils down to the sum of:

Kpp*(integral of position error)
-Kiv*(integral of measured velocity)
-Kpv*(measured velocity)

Am I correct? Thank you. 
",control servos pid
1033,What is the actual physical actuated quantity when controlling the position of a servo?,"I'm trying to learn about servo control. I have seen that the most generic position control method for servos is PID, where the control input is position error. However, I am not sure about what is the actuated quantity. I am guessing that it is one of:

Voltage applied to the motor
Current applied to the motor

I am then guessing that the actuated quantity gets turned into one of:

Torque that the motor exerts
Angular velocity that the motor runs at

I haven't been able to get my hands on and explicitly control a physical servo so I cannot confirm that the actuated quantity is any of these. I know very little of the electronics that controls the motor. It might well be that the controlled quantities are different for different series servos. 
My bet is on torque control. However, assume that the servo is holding a weight at a distance (so it is acting against gravity), which means an approximately constant torque load. In this case, if the position error is zero and the servo is at rest, then each of P, I and D components are zero, which means the exerted torque is zero. This would cause the weight to sink, which is countered by the error in its position causing P,I components to increase. Wouldn't this situation cause the lifted weight to oscillate and balance at a constant position which is significantly different from the goal position? This isn't the case with the videos of servos I have seen lifting weights. Or is this the case and friction is smoothing everything out? Please help me understand. 
",servos pid
1036,Web mapping that can be used for autonomous vehicles/robots,"Is there web mapping tool that allows developers to use it to plot GPS data of autonomous vehicles/robots?
 forbids it. See 10.2.C. Google Earth terms of use link jumps to the same page. Bing Maps looks the similar (see 3.2.(g)).
What I want is a internet-based tool that shows either/both satellite images and/or map, which can overlay plot using its API. I'm making a generic GPS plotter on ROS that could be used both for slow robots or fast vehicles/cars.
Thanks!
",gps visualization
1037,Building a balancing robot with differential drive,"I've already built a two wheeled balancing robot using some continuous rotation servos and an accelerometer/gyroscope.  I upgraded the servos to some geared DC motors with 8-bit encoders with the goal having the robot drive around while balancing.   
I'm kind of stuck on how to program it to drive around while still balancing.  I think one way would be to just have the control input to the motors act sort of like pushing it.  So the robot would be momentarily unbalanced in the direction I want it to travel.  That seems kind of clumsy to me though.  There must be a better way of doing?  I think I need to combine the dynamic model for the balancer with the differential drive but this is a bit beyond the control theory that I know.  
Update 
From Anorton's answer I have a good looking state matrix now. 
Now about pole placement:  The A matrix will will have to be 4x4 based on the new state vector.  And B will then have to be a 4x2 matrix since I can only control the left/right wheel torque (u = 2x1 vector).  
I may need to read more about this but is there a systematic way to determine the A matrix by pole placement?  It seems to me for this example and even more complicated examples, determining A by guess and check would be very difficult.  
Update #2
After a bit of reading I think I understand it now.  I still need the dynamics of the robot to determine the A matrix.  Once I have that I can do the pole placement using matlab or octave.   
",mobile-robot control dynamics
1039,Resetting position of e-puck in Webots using Supervisor node - problem with getting a handle to the robot,"I am writing a method (Java) that will reset the position of e-puck in Webots. I have been following tutorial on Supervisor approach. I have two controllers in my project:

SupervisorController extends Supervisor - responsible for genetic algorithm and resetting e-puck's position
EpuckController extends Robot - drives the robot

Robots are communicating via Emitter and Receiver, and everything works fine but the position reset.
This is what I'm doing in SupervisorController:

And as a result I get this exception:
[SupervisorController] Exception in thread ""main"" java.lang.NullPointerException
[SupervisorController]  at SupervisorController.initialise(SupervisorController.java:413)
[SupervisorController]  at SupervisorController.main(SupervisorController.java:497)

epuck variable is null. I tried calling different methods on epuck, and they all resulted in NullPointerException. The name of e-puck matches the world file. 
DEF EPUCK DifferentialWheels {
  translation 0.134826 -0.000327529 0.107963
  rotation 0.0244439 0.999246 -0.0301538 1.95838
  children [
  (........)
  ]
  name ""epuck""
  controller ""EpuckController""
  axleLength 0.052
  wheelRadius 0.0205
  maxSpeed 6.28
  speedUnit 0.00628
}

I would appreciate any advice on how to get a handle to the robot or where to look for issues in simulation/code.
",mobile-robot simulator
1046,Overview - what skills are needed for sensor fusion?,"I want to make a list of what knowledge is necessary for sensor fusion. Since it has a wide array of possible applications, it is not clear where to begin studying. Can we please verify add topics that are in-scope, and specify to what extent?:

Digital Signal Processing - course: 
Probability - course 
Machine Learning - course at Coursera from Stanford University
Programming robotic car - course at Udacity
Knowledge of Matlab and Simulink - tutorials on mathworks webpage and offline help.
Basic knowledge about integrals, matrices operations, differential equations.

",sensors sensor-fusion
1047,"Source to learn Kalman Fusion, explanatory code snippets","Currently I am reading a book of Mr. Thrun: Probabilistic Robotics. I find it really helpfull to understand concept of filters, however I would like to see some code in eg. Matlab. Is the book ""Kalman Filter for Beginners: with MATLAB Examples"" worth buying, or would you suggest some other source to learn the code snippets from?
",kalman-filter books
1049,Is it possible to interface android mobile as GSM and GPS module with arduino based robotic applications?,"I want to built a robot and i need bunch of modules to track it like GSM/GPS Wifi and Camera
If i try to buy each of module separately it will cost me 300 dollar each aprox in Pakistan. On the other hand an android enable phone can be purchased on just 250$ having all of them. I was wondring if it is possible to interface android phones like (Huawaii or google nexus) with 8-bit microcontrollers or Arduino? The only port available with android phones are USB and Arduino supports USB. It is possible to some how attach both of them?
",arduino usb
1050,How do space rovers survive at very low temperatures?,"For example, if a rover has working temperature range of -70 to +120 Celsius, how does it survive and then restore itself if the temperature drops to -150 degrees for several months?
",electronics ugv reliability
1051,What are human-friendly terms for mobile-robot orientation and relative direction of non-robot objects?,"Within robotics programming, orientation is primarily given in terms of x, y, & z coordinates, from some central location.  However x, y, z coordinates aren't convenient for rapid human understanding if there are many locations from which to select (e.g., {23, 34, 45}, {34, 23, 45}, {34, 32, 45}, {23, 43, 45} is not particularly human friendly, and is highly prone to human error).  Yet more common English orientation descriptors are frequently either too wordy or too imprecise for rapid selection (e.g.,  ""front-facing camera on robot 1's right front shoulder"" is too wordy; but ""front""/ ""forward"" is too imprecise - is the camera on the leading edge or is it pointing forward?)
In the naval and aeronautical fields vehicle locations are generically talked about as fore, aft (or stern), port, and starboard. While, direction of movement that is relative to the vehicle is frequently given in reference to a clockface (e.g., forward of the the fore would be ""at 12"", rear of the aft would be ""at 6"", while right of starboard and left of port would be ""at 3"" and ""at 9"", respectively).  This language supports rapid human communication that is more precise than terms such as ""front"" and ""forward"".  Are there equivalent terms within mobile robotics?
",mobile-robot control design localization navigation
1056,Perfecting Tripod Gait - Building a R-Hex Robot,"I need help with figuring out the following things:
I'm developing a hexapod R-Hex type model with a tripod gait. However, the angles obtained during the robot's walking in real life are not perfectly aligned. Because of this the robot often collapses and falls even on perfectly straight terrain.
My configuration is: 

60 rpm dc motors for each leg
H-bridge motor drivers for each dc motor
Atmega 8

Should I change the gait type?
Or is Tripod sufficiently stable?
Are DC motors providing fine enough control or do I need servos?
Do I need a DC motor with an Encoder? 
What will be its benefits?
What could be done to improve performance of the robot?
Added: Would a Stepper motor work as well, instead of a servo?
",motor wheeled-robot gait
1060,Self learning maze solving robot using 8bit microcontroller?,"I want to know if there is best algorithm and technique to implement self learning maze solving robot in 8 bit limited resource micro-controller? I was looking for some well optimized algorithm and/or technique. Maze can be of any type. Of-course first time it has to walk all the way and keep tracking obstacles it found. 
I think best technique would be neural networks but is it possible to do this in such a short resources of 8bit? Any example online with similar kind of problem? 
My wall detection is based on units, well, I have counted the wheel turns and it is almost 95% accurate in integers. For sensing the walls Ultrasonic range finding is used. Wheel can remeber its current position in let say, 3 feet staight, 2 feet right, etc.
",algorithm machine-learning mapping micromouse
1064,"Prototyping a device with 25-100 small DC 3.0V motors, is Arduino a good fit?","I want to prototype a therapeutic device that will have a lot of tiny mobile-phone type vibration motors like this one in it, and I want to be able to activate them in any configuration I want.  I'm going to need analogue control, and support for logic like perlin noise functions and so on.  I'm not really going to need sensor data or any other kind of feedback beyond a few buttons for control.  I just need fine control over lots of little motors.  Depending on what results I can get out of, say, 25 motors on the initial prototype, I may decide that I'm done, or that it needs more motors.  I also don't have an enormous budget.
So the question is, is Arduino a good fit for a project like this?  Is it feasible to get that many motors working off the same controller?  I know some of the Arduino boards have up to 50-something serial outputs, but from what I can tell, that may only translate to 25 or so motors, so I'd need a way to extend the board with more serial outputs if I wanted to try more.
Additionally, if Arduino isn't a good fit, what would be better?  Could I try something directly out of a serial port on my PC?  I've never tried to home-cook a robotics application before, so I'm not really aware of the options.
",arduino motor
1066,How to invert D-H parameters,"I currently have a working kinematic chain made by a set of ten links in D-H convention (with usual parameters [ $A_i, D_i, \alpha_i, \theta_i$]).
But my task currently requires the inversion of some of them. Basically, I would have a part of the chain that is read from the end-effector to the origin, using the same links (and thus the same parameters). Is it possible? How to do so?

Please notice that this is not related to the inversion of the kinematic chain. It's more basic: I want to find the dh parameters of the inverted forward kinematic chain.
Let's put it simple: I have dh parameters for a 2 link planar chain from joint 0 to joint 1, so I can compute its direct kinematics. But what if I want to compute the direct kinematics from joint 1 to joint 0?
Given DH parameters [ $A_i, D_i, \alpha_i, \theta_i$], I can retrieve the transform matrix with this formula:
$G = \left[\begin{matrix}
cos(\theta) & -sin(\theta)*cos(\alpha) &  sin(\theta)*sin(\alpha) & cos(\theta)*a \\
sin(\theta) &  cos(\theta)*cos(\alpha) & -cos(\theta)*sin(\alpha) & sin(\theta)*a \\
          0 &              sin(\alpha) &              cos(\alpha) &             d \\
          0 &                        0 &                        0 &             1
\end{matrix} \right]$
This is the transform matrix from the i-th link to the (i+1)-th link. Thus, I can invert it to obtain the transform matrix from the (i+1)-th link to the i-th link, but the problem is that this is not working. I believe that the reason is related to the fact that the DH convention doesn't work any more as it is.
Any help?
",control inverse-kinematics kinematics
1068,Mindsensor Motor Multiplexer jump on run_unlimited,"I am trying to run a nxt motor using the mindsensors motor multiplexer at a slow speed.  When I turn it on, it tends to jump approx 20 to 40 degrees before moving at a slow speed.  Has anyone seen this behavior?
I am using NXT 1.0 with firmware down loaded from .  Sample code in NXC (I am using Bricx Command Center as my IDE) is as follows:
MMX_Run_Degrees (SensorPort, Addr, MMX_Motor_2, MMX_Direction_Reverse,
     MMX_Speed_Slow, 220, MMX_Completion_Wait_For, MMX_Next_Action_Brake);
Wait(500);

MMX_Run_Unlimited( SensorPort, Addr, MMX_Motor_2,MMX_Direction_Forward, 5);
// The jump happens here.
while(Sensor(IN_2)< SENSORTHRESHOLD);

",nxt mindstorms not-exactly-c
1069,Is there a way to use a single dc motor output for two different loads?,"Is there a way to use a single dc motor output for two different loads (by using gears, relays etc) ? Please see the illustration below:

To clarify the illustration, I get the dc motor power at ""output 1"" gear which is extended over an idler gear to output 2 gear. All three are in contact (though the picture doesn't quite show it). Load 1 and Load 2 are two separate gears connected to different loads (wheels etc) and initially not in contact with the bottom gears. On switching on the relays 1, 2 - the load bearing gears, move towards the output1 and output2 and mesh with them to drive Load 1, 2.
",motor
1072,Is it possible to make Kite flying robot?,"This question was asked in electronics stackexchange. I want to know if is it possible to make a robot that can fly kites. Is this idea practical? I was thinking that making a kite is just like making some flying quadcopter or helicopter. I just want to know is this idea really implementable?  Is there an example or similar work in reference to this?     
",control quadcopter radio-control
1074,How to assemble brushless motors and propellers?,"I'm building a quadcopter and I've received my motors and propellers.
What's the right way to assemble those together?
I'm not confident with what I've done, as I'm not sure the propeller would stay in place on a clockwise rotating motor.
I mean, if the motor rotates clockwise, will the screw stay tightly in place, even with the prop's inertia pushing counter-clockwise?
Here's what I've done (of course i'll tighten the screw...) :

",brushless-motor
1078,How do I measure the distance that a cord (string) has moved?,"For a pet project, I am trying to fly a kite using my computer.  I need to measure how far a cord extends from a device.  I also need to somehow read out the results on my computer. So I need to connect this to my pc, preferably using something standard like USB.
Since the budget is very small, it would be best if I could get it out of old home appliances or build it myself.
What technology do I need to make this measurement?
",wheel usb encoding
1082,Stabilizing a Robot Arm at a Specified Height,"I have a 4-bar linkage arm (or similar design) for a telerobot used in the VEX Robotics Competition.  I want to be able to press buttons on my PS3-style controller to have the arm raise to certain angles.  I have a potentiometer to measure the 4-bar's angle.
The potentiometer measures the angle of one of the joints in the shoulder of the mechanism, which is similar to this:

What type of control should I use to stabilize the arm at these angles?
",mobile-robot control arm
1083,Assigning Frames and Deriving Link Parameters,"The textbook I'm using doesn't have the answers to the practice questions, so I'm not sure how I'm doing. Are the following DH parameters correct given the frames I assigned?
The original question is as follows:
The arm with 3DOF shown below is like the one in example 3.3, except that joint 1's axis is not parallel to the other two. Instead, there is a twist of 90 degrees in magnitude between axes 1 and 2. Derive link parameters and the kinematic equations for $^bT_w$ (where b means base frame and w means wrist frame).
Link Parameters:
$$\begin{array}{ccc}
  & const.        & and      &     &               \\
  & angle         & distance &     &               \\
i & \alpha_{i-1}  & a_{i-1}  & d_i & \bf{\theta_i} \\
\\
1 & 0             & 0        & 0   & \theta_1      \\
2 & -90           & L_1      & 0   & \theta_2      \\
3 & 0             & L_2      & 0   & \theta_3      \\
\end{array}$$
Frame Assignments: 
",inverse-kinematics kinematics forward-kinematics
1086,Increasing the rotation range of a servo motor,"How do I increase the rotation range of a standard servo? Most servos have a rotation range of ~ 180 degrees. I would like to access the entire 360 degree range on the servo, partially because I would be attaching the servo's shaft to the robotic wheel and would like it to be able to make full rotations. Or is that not possible? 
I would not like to however lose the 'encoder' part of the servo which allows me to clearly specify which angular position the wheel should stop at. 
If I use gears in order to transform this system range, would it lead to loss of precision?
In addition, would such a transform allow the wheels to continuously rotate in one direction? From what I understand, this won't work.
Would a stepper motor with an external encoder or a dc motor with an external encoder work?
",motor rcservo
1089,How to perform this reference system transformation?,"I have two quaternions that indicate the initial orientation of a four wheel robot, each one in relative to one reference systems. 
The robot's orientation given by a quaternion q is not the same in the two reference systems: For one reference system the quaternion q1 might refer to the robot looking at positive x while the same quaternion components q1 in the second reference system might refer to the robot looking at the negative x.
I have two matrices which indicate the position of the robot in time in its correspondent reference system.
I want to find the correspondent points of the first matrix in to the second reference system. Each matrix is built with a different sensor, so the results will be similar but not exactly the same.
I think I should find the transformation from the first reference system to the second and then apply it for each point of the first matrix. How can I find this transformation? The translation part I think is clear, but the rotation not at all.
Edit:
@WildCrustacean
The solution proposed does not solve the problem, I think that the reason is because each system represents the robot in a different way. 
In the initial one (A) the robot moving forward with no rotation would increase in the X axis. In the goal referential system (B) the robot moving forward with no rotation would increase in the Z axis. (See figure for more details) 

I think I have to apply an extra rotation to change the initial quaternion that belongs to the first system to be in accordance with the second system before applying the transformation of your post.
One rotation of 180 degrees around x followed by one of 90 around y. Would rotate from A to B 
This is how I tried to solve it:
# Quaternion to adjust reference system
first_quat = make_quaternion(unitary_x, pi) # Generates the quaternion that rotates pi around X 
second_quat = make_quaternion(unitary_y, pi/2.0) # Generates the quaternion that rotates pi/2 around Y 
composed_fs_q = first_quat*second_quat 

# Quaternion to rotate from one reference system to the other
quaternion_ini_A = quaternion_ini_A*composed_fs_q
A2B_quaternion = quaternion_ini_B*(quaternion_ini_A.inverse())

A2B_quaternion is the quaternion that I use for the rotation but still doesn't perform the right rotation. Any idea?
",mobile-robot localization odometry
1091,Python libraries for image processing and feedback control on raspberry pi,"I'm building a motion detection and object recognition camera with feedback control for a hexy robot. Fortunately most of the servo control is handled by the analog servo controls and the high-level logic can be implemented in python on a raspberry pi. What's the right combination of python modules to implement:

a daemon/service to trigger and execute image capture and processing
a daemon/service to regularly update the hexy with the latest motion plan and servo setpoints
the image processing for recognition and tracking of objects from the webcam

I'm currently using python-daemon for the services and comparing the various pypi opencv libraries to see if any of them look promising. Anyone have experience with these on a raspberry pi or ARM processor in a robotics application? 

remotecv                  - remotecv is an OpenCV server for face recognition
ctypes-opencv             - ctypes-opencv - A Python wrapper for OpenCV using ctypes
pyopencv                  - PyOpenCV - Boost.Python and NumPy
opencv-cython             - An alternative OpenCV wrapper
CVtypes                   - Python OpenCV wrapper using ctypes
Tippy                     - another Toolbox for Image Processing, based on OpenCV

These each depend on a deep list of low-level libraries and/or compilers like Boost->numpy->gfortran or cython->gcc or ctypes. I'm concerned about compatibility and performance of these lowlevel libraries on Raspbian and an ARM processor.
Anyone with a known working architecture for image processing and real-time control in python on an ARM processor will get their answer upvoted and/or accepted.
",raspberry-pi real-time
1092,Numpy alternatives for linear algebra and kinematics in python?,"Are there any decent python numerical package libraries besides numpy for python? Numpy relies on gfortan which itself must be compiled correctly for your platform to avoid hidden/insidious numerical errors in numpy. 
I need a matrix algebra package to do kinematics, path planing, and machine learning in python that isn't sensitive to  gfortran version and compiler options.
",kinematics python
1097,At which stage should filtering be applied to the sensors data?,"Shall I filter (kalman/lowpass) after getting the raw values from a sensor or after converting the raw values to a usable data? Does it matter? If so, why? 
Example:
Filter after getting raw values from IMU
or 
filter after converting raw values to a usable data eg. flight dynamics parameters.
",kalman-filter imu
1100,Why are industrial machines called robots?,"The definition of a robot is as follow: ""A robotic paradigm can be described by the relationship between the three primitives of robotics: Sense, Plan, and Act.""
An example could be the famous ""Kuka Robots"". The Kuka robot is preprogrammed and does mainly one loop over and over again. Some of them could have measurement sensors but that is all. They do not think or plan nor do they make decisions. 
An automatic door opener, used in a building is not a robot either but according to the robotic paradigm definition they are more a robot than a Kuka machine. They actually get some data from a sensor followed by planning and acting. 
So why are Kuka machines called robots?
",industrial-robot
1110,Robots minimum distance,"I am trying to implement a mechanism to make robots avoid being too close (Say in a distance less than ). I am not familiar with those systems and I have to implement a strategy to avoid robots being too close to each other. Could anyone recommend me some readings for such a problem or a set of keywords to search for? I don't know yet how to start.
",algorithm movement
1113,Torque in kg/cm?,"I was looking up the motor parameters for some stepper motor where they listed the torque of the motor at different current/voltage but the torque they listed was in kg/cm.
How is kg/cm even a remotely acceptable unit for torque?
How do I calculate the torque in Nm from kg/cm?
Clarity note: Its not kgcm which represents [0.098 kilogram force = 1 Nm.]
Website where this happens.
",stepper-motor torque
1117,How to obtain stereo correspondences and what exactly is a disparity map?,"I am currently reading into the topic of stereo vision, using the book of Hartley&Zimmerman alongside some papers, as I am trying to develop an algorithm capable of creating elevation maps from two images.
I am trying to come up with the basic steps for such an algorithm. This is what I think I have to do:
If I have two images I somehow have to find the fundamental matrix, F, in order to find the actual elevation values at all points from triangulation later on. If the cameras are calibrated this is straightforward if not it is slightly more complex (plenty of methods for this can be found in H&Z).
It is necessary to know F in order to obtain the epipolar lines. These are lines that are used in order to find image point x in the first image back in the second image.
Now comes the part were it gets a bit confusing for me: Now I would start taking a image point x_i in the first picture and try to find the corresponding point x_i in the second picture, using some matching algorithm. Using triangulation it is now possible to compute the real world point X and from that its elevation. This process will be repeated for every pixel in the right image.
In the perfect world (no noise etc) triangulation will be done based on

In the real world it is necessary to find a best fit instead.
Doing this for all pixels will lead to the complete elevation map as desired, some pixels will however be impossible to match and therefore can't be triangulated.
What confuses me most is that I have the feeling that Hartley&Zimmerman skip the entire discussion on how to obtain your point correspondences (matching?) and that the papers I read in addition to the book talk a lot about disparity maps which arent mentioned in H&Z at all. However I think I understood correctly that the disparity is simply the difference x1_i- x2_i?
Is this approach correct, and if not where did I make mistakes?
",computer-vision stereo-vision
1120,Has a robot ever taken a complete IQ test?,"And if so, what was the highest score so far?
Some news articles suggest only parts of tests were aced.

Update since people censored this question and closed it. There was an AI that has taken an IQ test and scored similar to a 4 year old.


The AI system which they used is ConceptNet, an open-source project run by the MIT Common Sense Computing Initiative.
  Results: It scored a WPPSI-III VIQ that is average for a four-year-old child, but below average for 5 to 7 year-olds

Abstract

We administered the Verbal IQ (VIQ) part of the Wechsler Preschool and Primary Scale of Intelligence (WPPSI-III) to the ConceptNet 4 AI system. The test questions (e.g., ""Why do we shake hands?"") were translated into ConceptNet 4 inputs using a combination of the simple natural language processing tools that come with ConceptNet together with short Python programs that we wrote. The question answering used a version of ConceptNet based on spectral methods. The ConceptNet system scored a WPPSI-III VIQ that is average for a four-year-old child, but below average for 5 to 7 year-olds. Large variations among subtests indicate potential areas of improvement. In particular, results were strongest for the Vocabulary and Similarities subtests, intermediate for the Information subtest, and lowest for the Comprehension and Word Reasoning subtests. Comprehension is the subtest most strongly associated with common sense. The large variations among subtests and ordinary common sense strongly suggest that the WPPSI-III VIQ results do not show that ""ConceptNet has the verbal abilities a four-year-old."" Rather, children's IQ tests offer one objective metric for the evaluation and comparison of AI systems. Also, this work continues previous research on Psychometric AI. 


Update. A robot has passed the Japanese college entrance test and has an 80% chance of being accepted. Since it scored more than the average, that would make the IQ > 100, especially since college applicants have an IQ greater than average, and especially since Japanese are smarter than average humans. 

The Wall Street Journal reports that the program, developed by Japans National Institute of Informatics, took a multi-subject college entrance exam and passed with an above-average score of 511 points out of a possible 950. (The national average is 416.) With scores like that, it has an 8 out of 10 chance of being admitted to 441 private institutions in Japan, and 33 national ones.

",artificial-intelligence
1128,Why is this electro motor going slower?,"From an old dust buster I've got this electro motor, the included battery pack and the charger:


I ripped everything apart (the dust buster was broken) and the motor still works. After playing around with it for a while and letting it lying around for about two weeks it suddenly revs a lot slower. I supposed the battery pack was drained so I hooked up the battery pack to the charger and let it charge for a night. Unfortunately the motor still turns very slow.
Since I want to use this motor for my first home robotics project (making a kite fly with my computer), off I went to the local electronics store where they measured the charger to give 16V (even though it says 21V) and the battery pack to give about 5V. I then hooked up the motor directly to the charger, but unfortunately it doesn't even move an inch then.
So now I wonder:

Why doesn't the motor spin at all when hooking it up to the charger? (Could that be because the 250mA is too low?)
Why doesn't the battery pack charge at all? (this bothers me the most!)

All tips are welcome!
",motor battery
1130,What is the name of this mechanical linkage?,"
I am trying to find a joint like these for a robot I'm building. It is often called a swivel joint or a universal joint, but with a modified spider. I can't find one anywhere and would prefer not to make it. Searching for 'universal joint' returns the standard automotive type. Any help would be appreciated
",joint
